,Year,Month,Day,Hour,Temperature,Pressure
0,2010,10,6,3,-3.0,998.4
1,2010,10,6,9,-2.8,999.2
2,2010,10,6,10,-2.4,998.7
3,2010,10,6,11,-1.9,998.7
4,2010,10,6,12,-1.9,998.5
5,2010,10,6,13,-2.0,998.2
6,2010,10,6,14,-1.5,997.5
7,2010,10,6,15,-0.8,997.1
8,2010,10,6,16,-0.5,996.0
9,2010,10,6,17,-1.2,995.3
10,2010,10,6,18,-1.3,994.6
11,2010,10,6,19,-1.5,993.7
12,2010,10,6,20,-0.7,992.8
13,2010,10,6,21,0.1,992.4
14,2010,10,6,22,0.5,992.4
15,2010,10,6,23,0.5,992.1
16,2010,10,7,0,1.1,992.2
17,2010,10,7,1,0.5,992.7
18,2010,10,7,2,1.0,992.9
19,2010,10,7,3,1.0,993.7
20,2010,10,7,4,1.6,994.1
21,2010,10,7,5,1.3,994.7
22,2010,10,7,6,1.6,995.0
23,2010,10,7,7,2.7,995.3
24,2010,10,7,8,1.6,995.7
25,2010,10,7,9,1.6,996.1
26,2010,10,7,10,1.8,996.4
27,2010,10,7,11,2.3,996.8
28,2010,10,7,12,2.3,997.0
29,2010,10,7,13,3.9,997.0
30,2010,10,7,14,3.7,996.8
31,2010,10,7,15,1.8,996.9
32,2010,10,7,16,2.3,997.1
33,2010,10,7,17,3.3,997.1
34,2010,10,7,18,2.1,997.1
35,2010,10,7,19,1.9,997.1
36,2010,10,7,20,2.0,997.2
37,2010,10,7,21,2.1,997.3
38,2010,10,7,22,1.7,997.4
39,2010,10,7,23,2.0,997.3
40,2010,10,8,0,1.4,997.2
41,2010,10,8,1,1.4,997.5
42,2010,10,8,2,1.6,997.4
43,2010,10,8,3,1.3,997.4
44,2010,10,8,4,1.5,997.3
45,2010,10,8,5,1.1,997.3
46,2010,10,8,6,1.5,997.3
47,2010,10,8,7,1.4,997.5
48,2010,10,8,8,1.5,997.8
49,2010,10,8,9,1.6,998.0
50,2010,10,8,10,2.3,998.6
51,2010,10,8,11,1.2,999.1
52,2010,10,8,12,1.7,999.3
53,2010,10,8,13,1.5,999.4
54,2010,10,8,14,1.3,999.5
55,2010,10,8,15,1.3,999.7
